City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Jamestown,42.097,-79.2353,50.72,80,90,8.01,US,2021-12-11 06:04:14
270,Zhigansk,66.7697,123.3711,-8.32,97,100,11.5,RU,2021-12-11 06:04:14
271,Aqtobe,50.2797,57.2072,21.29,68,0,17.9,KZ,2021-12-11 06:03:38
272,Cayenne,4.9333,-52.3333,76.08,91,75,3.44,GF,2021-12-11 06:05:14
273,Alofi,-19.0595,-169.9187,75.97,79,91,14.07,NU,2021-12-11 06:05:15
274,Oneonta,42.4529,-75.0638,40.32,86,85,4.21,US,2021-12-11 06:05:15
275,Nemuro,43.3236,145.575,41.16,75,100,7.14,JP,2021-12-11 06:05:16
276,Chapais,49.7834,-74.8492,11.98,100,91,3.78,CA,2021-12-11 06:05:16
277,Rio Cuarto,-33.1307,-64.3499,63.68,73,28,7.56,AR,2021-12-11 06:05:16
278,Nishihara,26.1842,127.7558,74.86,50,40,14.97,JP,2021-12-11 06:05:17
279,Daitari,21.1,85.75,77.4,55,0,3.47,IN,2021-12-11 06:05:17
280,Port Keats,-14.25,129.55,91.15,57,51,11.54,AU,2021-12-11 06:05:18
281,Susangerd,31.5608,48.1831,55.42,36,55,11.14,IR,2021-12-11 06:05:18
282,Avera,33.194,-82.5271,62.11,97,80,7.11,US,2021-12-11 06:05:18
283,Beloostrov,60.1512,30.0015,20.5,82,97,12.46,RU,2021-12-11 06:05:19
284,Sikasso,10.9167,-7.0,68.11,17,51,4.83,ML,2021-12-11 06:05:19
285,Belmonte,-15.8631,-38.8828,72.1,84,97,5.66,BR,2021-12-11 06:05:20
286,Las Palmas,28.4204,-14.0131,61.59,77,2,21.85,ES,2021-12-11 06:05:20
287,Gryazovets,58.88,40.2525,2.55,96,30,6.73,RU,2021-12-11 06:05:21
288,Ilulissat,69.2167,-51.1,24.82,50,100,3.44,GL,2021-12-11 06:05:21
289,Balkanabat,39.5108,54.3671,53.64,66,22,4.12,TM,2021-12-11 06:05:21
290,Yibin,28.7667,104.6238,51.69,86,100,7.4,CN,2021-12-11 06:00:28
291,Juegang,32.3174,121.1855,55.45,64,4,8.25,CN,2021-12-11 06:05:22
292,Vila Velha,-20.3297,-40.2925,71.94,94,20,1.99,BR,2021-12-11 06:05:04
293,Razole,16.4833,81.8333,86.29,54,1,7.14,IN,2021-12-11 06:05:22
294,Mattru,7.6244,-11.8332,74.17,95,54,1.59,SL,2021-12-11 06:05:23
295,Dakar,14.6937,-17.4441,68.88,63,82,13.42,SN,2021-12-11 06:05:23
296,Gryazi,52.4966,39.9359,24.33,65,34,7.92,RU,2021-12-11 06:05:23
297,Imbituba,-28.24,-48.6703,67.89,84,78,3.67,BR,2021-12-11 06:05:24
298,Kismayo,-0.3582,42.5454,83.44,63,38,16.24,SO,2021-12-11 06:05:24
299,Druzhba,52.0428,33.9453,33.4,83,100,17.96,UA,2021-12-11 06:05:25
300,San Cristobal,7.7669,-72.225,65.64,93,100,2.46,VE,2021-12-11 06:05:25
301,Edd,13.9297,41.6925,83.62,37,0,14.29,ER,2021-12-11 06:05:25
302,Porto Novo,6.4965,2.6036,75.97,90,31,3.06,BJ,2021-12-11 06:00:33
303,Pisco,-13.7,-76.2167,66.25,82,90,8.05,PE,2021-12-11 06:05:26
304,Arroyo,41.6096,-4.7969,44.6,92,0,10.36,ES,2021-12-11 06:05:26
